curator_name,curator_link
PC Gamer,https://store.steampowered.com/curator/1850-PC-Gamer/?snr=1_1050_curatorsreviewing_
Just Good PC Games,https://store.steampowered.com/curator/6856269-Just-Good-PC-Games/?snr=1_1050_curatorsreviewing_
/r/pcmasterrace Group,https://store.steampowered.com/curator/4771848-r-pcmasterrace-Group/?snr=1_1050_curatorsreviewing_
Critiquing Doge,https://store.steampowered.com/curator/11284407-Critiquing-Doge/?snr=1_1050_curatorsreviewing_
Source Engine Games,https://store.steampowered.com/curator/6858478-Source-Engine-Games/?snr=1_1050_curatorsreviewing_
Yahtzee Recommends,https://store.steampowered.com/curator/6923402-Yahtzee-Recommends/?snr=1_1050_curatorsreviewing_
"No, I Am Your Father!",https://store.steampowered.com/curator/34077545-No-I-Am-Your-Father/?snr=1_1050_curatorsreviewing_
Metacritic.,https://store.steampowered.com/curator/35387214-Metacritic./?snr=1_1050_curatorsreviewing_
Neptune Review,https://store.steampowered.com/curator/32267154-Neptune-Review/?snr=1_1050_curatorsreviewing_
Yah or Nah,https://store.steampowered.com/curator/35237015-Yah-or-Nah/?snr=1_1050_curatorsreviewing_
Co-op Cowboys,https://store.steampowered.com/curator/11247776-Co-op-Cowboys/?snr=1_1050_curatorsreviewing_
A man of culture,https://store.steampowered.com/curator/35913295-A-man-of-culture/?snr=1_1050_curatorsreviewing_
Designer Plays,https://store.steampowered.com/curator/6856591-Designer-Plays/?snr=1_1050_curatorsreviewing_
SteamDB,https://store.steampowered.com/curator/4777282-SteamDB/?snr=1_1050_curatorsreviewing_
Hodor Review,https://store.steampowered.com/curator/6861215-Hodor-Review/?snr=1_1050_curatorsreviewing_
Co-Optimus,https://store.steampowered.com/curator/588052-Co-Optimus/?snr=1_1050_curatorsreviewing_
:D / D:,https://store.steampowered.com/curator/36179754-D-D/?snr=1_1050_curatorsreviewing_
Nep Review,https://store.steampowered.com/curator/35033588-Nep-Review/?snr=1_1050_curatorsreviewing_
Bro Team Team,https://store.steampowered.com/curator/3373079-Bro-Team-Team/?snr=1_1050_curatorsreviewing_
Gaming Masterpieces,https://store.steampowered.com/curator/34633003-Gaming-Masterpieces/?snr=1_1050_curatorsreviewing_
Gamehag,https://store.steampowered.com/curator/26076110-Gamehag/?snr=1_1050_curatorsreviewing_
PsiSyndicate,https://store.steampowered.com/curator/2816339-PsiSyndicate/?snr=1_1050_curatorsreviewing_
Hookups,https://store.steampowered.com/curator/2981528-Hookups/?snr=1_1050_curatorsreviewing_
Giant Bomb Staff,https://store.steampowered.com/curator/6856988-Giant-Bomb-Staff/?snr=1_1050_curatorsreviewing_
Ѕtеам 250,https://store.steampowered.com/curator/32686107-%25D0%2585t%25D0%25B5%25D0%25B0%25D0%25BC-250/?snr=1_1050_curatorsreviewing_
Geforce Now Friendly,https://store.steampowered.com/curator/38115929-Geforce-Now-Friendly/?snr=1_1050_curatorsreviewing_
Woke Content Detector,https://store.steampowered.com/curator/44927664-Woke-Content-Detector/?snr=1_1050_curatorsreviewing_
Hentai Lovers !,https://store.steampowered.com/curator/34956022-Hentai-Lovers/?snr=1_1050_curatorsreviewing_
Feminist Frequency,https://store.steampowered.com/curator/6954951-Feminist-Frequency/?snr=1_1050_curatorsreviewing_
AllGames 2.0,https://store.steampowered.com/curator/6701362-AllGames-2.0/?snr=1_1050_curatorsreviewing_
Unit Lost,https://store.steampowered.com/curator/2666675-Unit-Lost/?snr=1_1050_curatorsreviewing_
Cross-Platform Play,https://store.steampowered.com/curator/39520863-Cross-Platform-Play/?snr=1_1050_curatorsreviewing_
ECLUB,https://store.steampowered.com/curator/192743-ECLUB/?snr=1_1050_curatorsreviewing_
Zeus Reviews,https://store.steampowered.com/curator/44760646-Zeus-Reviews/?snr=1_1050_curatorsreviewing_
Raycevick,https://store.steampowered.com/curator/29150967-Raycevick/?snr=1_1050_curatorsreviewing_
Capsule Computers,https://store.steampowered.com/curator/2666558-Capsule-Computers/?snr=1_1050_curatorsreviewing_
Linux Archive,https://store.steampowered.com/curator/24620101-Linux-Archive/?snr=1_1050_curatorsreviewing_
vtpublishing,https://store.steampowered.com/curator/33045467-vtpublishing/?snr=1_1050_curatorsreviewing_
MrSuicideSheep,https://store.steampowered.com/curator/40954427-MrSuicideSheep/?snr=1_1050_curatorsreviewing_
In Games We Тrust,https://store.steampowered.com/curator/39932193-In-Games-We-%25D0%25A2rust/?snr=1_1050_curatorsreviewing_
Centrelink Payments,https://store.steampowered.com/curator/20185415-Centrelink-Payments/?snr=1_1050_curatorsreviewing_
Achievement Scouts,https://store.steampowered.com/curator/31507748-Achievement-Scouts/?snr=1_1050_curatorsreviewing_
LifeIsReallyStrange,https://store.steampowered.com/curator/27966971-LifeIsReallyStrange/?snr=1_1050_curatorsreviewing_
Balls_of Steel,https://store.steampowered.com/curator/33295678-Balls_of-Steel/?snr=1_1050_curatorsreviewing_
