curator_name,profile_link,followers,recommendation
PC Gamer,https://store.steampowered.com/curator/1850-PC-Gamer/?snr=1_1050_curatorsreviewing_,"723,580",RECOMMENDED
Just Good PC Games,https://store.steampowered.com/curator/6856269-Just-Good-PC-Games/?snr=1_1050_curatorsreviewing_,"603,689",RECOMMENDED
/r/pcmasterrace Group,https://store.steampowered.com/curator/4771848-r-pcmasterrace-Group/?snr=1_1050_curatorsreviewing_,"519,444",RECOMMENDED
Critiquing Doge,https://store.steampowered.com/curator/11284407-Critiquing-Doge/?snr=1_1050_curatorsreviewing_,"396,565",RECOMMENDED
Source Engine Games,https://store.steampowered.com/curator/6858478-Source-Engine-Games/?snr=1_1050_curatorsreviewing_,"151,065",RECOMMENDED
Yahtzee Recommends,https://store.steampowered.com/curator/6923402-Yahtzee-Recommends/?snr=1_1050_curatorsreviewing_,"107,959",RECOMMENDED
"No, I Am Your Father!",https://store.steampowered.com/curator/34077545-No-I-Am-Your-Father/?snr=1_1050_curatorsreviewing_,"93,267",RECOMMENDED
Metacritic.,https://store.steampowered.com/curator/35387214-Metacritic./?snr=1_1050_curatorsreviewing_,"81,696",RECOMMENDED
Neptune Review,https://store.steampowered.com/curator/32267154-Neptune-Review/?snr=1_1050_curatorsreviewing_,"86,794",RECOMMENDED
Yah or Nah,https://store.steampowered.com/curator/35237015-Yah-or-Nah/?snr=1_1050_curatorsreviewing_,"59,074",RECOMMENDED
Co-op Cowboys,https://store.steampowered.com/curator/11247776-Co-op-Cowboys/?snr=1_1050_curatorsreviewing_,"74,624",RECOMMENDED
A man of culture,https://store.steampowered.com/curator/35913295-A-man-of-culture/?snr=1_1050_curatorsreviewing_,"54,725",RECOMMENDED
Designer Plays,https://store.steampowered.com/curator/6856591-Designer-Plays/?snr=1_1050_curatorsreviewing_,"49,264",RECOMMENDED
SteamDB,https://store.steampowered.com/curator/4777282-SteamDB/?snr=1_1050_curatorsreviewing_,"41,769",INFORMATIONAL
Hodor Review,https://store.steampowered.com/curator/6861215-Hodor-Review/?snr=1_1050_curatorsreviewing_,"52,934",RECOMMENDED
Co-Optimus,https://store.steampowered.com/curator/588052-Co-Optimus/?snr=1_1050_curatorsreviewing_,"48,213",RECOMMENDED
:D / D:,https://store.steampowered.com/curator/36179754-D-D/?snr=1_1050_curatorsreviewing_,"32,456",RECOMMENDED
Nep Review,https://store.steampowered.com/curator/35033588-Nep-Review/?snr=1_1050_curatorsreviewing_,"36,264",RECOMMENDED
Bro Team Team,https://store.steampowered.com/curator/3373079-Bro-Team-Team/?snr=1_1050_curatorsreviewing_,"41,493",RECOMMENDED
Gaming Masterpieces,https://store.steampowered.com/curator/34633003-Gaming-Masterpieces/?snr=1_1050_curatorsreviewing_,"29,353",RECOMMENDED
Gamehag,https://store.steampowered.com/curator/26076110-Gamehag/?snr=1_1050_curatorsreviewing_,"46,980",RECOMMENDED
PsiSyndicate,https://store.steampowered.com/curator/2816339-PsiSyndicate/?snr=1_1050_curatorsreviewing_,"28,303",RECOMMENDED
Hookups,https://store.steampowered.com/curator/2981528-Hookups/?snr=1_1050_curatorsreviewing_,"28,810",RECOMMENDED
Giant Bomb Staff,https://store.steampowered.com/curator/6856988-Giant-Bomb-Staff/?snr=1_1050_curatorsreviewing_,"29,502",RECOMMENDED
Ѕtеам 250,https://store.steampowered.com/curator/32686107-%25D0%2585t%25D0%25B5%25D0%25B0%25D0%25BC-250/?snr=1_1050_curatorsreviewing_,"17,612",RECOMMENDED
Geforce Now Friendly,https://store.steampowered.com/curator/38115929-Geforce-Now-Friendly/?snr=1_1050_curatorsreviewing_,"16,657",RECOMMENDED
Woke Content Detector,https://store.steampowered.com/curator/44927664-Woke-Content-Detector/?snr=1_1050_curatorsreviewing_,"11,966",INFORMATIONAL
Hentai Lovers !,https://store.steampowered.com/curator/34956022-Hentai-Lovers/?snr=1_1050_curatorsreviewing_,"16,370",RECOMMENDED
Feminist Frequency,https://store.steampowered.com/curator/6954951-Feminist-Frequency/?snr=1_1050_curatorsreviewing_,"19,957",RECOMMENDED
AllGames 2.0,https://store.steampowered.com/curator/6701362-AllGames-2.0/?snr=1_1050_curatorsreviewing_,"19,195",RECOMMENDED
Unit Lost,https://store.steampowered.com/curator/2666675-Unit-Lost/?snr=1_1050_curatorsreviewing_,"19,087",RECOMMENDED
Cross-Platform Play,https://store.steampowered.com/curator/39520863-Cross-Platform-Play/?snr=1_1050_curatorsreviewing_,"12,742",INFORMATIONAL
ECLUB,https://store.steampowered.com/curator/192743-ECLUB/?snr=1_1050_curatorsreviewing_,"14,958",RECOMMENDED
Zeus Reviews,https://store.steampowered.com/curator/44760646-Zeus-Reviews/?snr=1_1050_curatorsreviewing_,"43,591",RECOMMENDED
Raycevick,https://store.steampowered.com/curator/29150967-Raycevick/?snr=1_1050_curatorsreviewing_,"14,045",RECOMMENDED
Capsule Computers,https://store.steampowered.com/curator/2666558-Capsule-Computers/?snr=1_1050_curatorsreviewing_,"14,327",RECOMMENDED
Linux Archive,https://store.steampowered.com/curator/24620101-Linux-Archive/?snr=1_1050_curatorsreviewing_,"13,012",RECOMMENDED
vtpublishing,https://store.steampowered.com/curator/33045467-vtpublishing/?snr=1_1050_curatorsreviewing_,"17,452",RECOMMENDED
MrSuicideSheep,https://store.steampowered.com/curator/40954427-MrSuicideSheep/?snr=1_1050_curatorsreviewing_,"11,981",RECOMMENDED
In Games We Тrust,https://store.steampowered.com/curator/39932193-In-Games-We-%25D0%25A2rust/?snr=1_1050_curatorsreviewing_,"13,848",RECOMMENDED
Centrelink Payments,https://store.steampowered.com/curator/20185415-Centrelink-Payments/?snr=1_1050_curatorsreviewing_,"18,625",RECOMMENDED
Achievement Scouts,https://store.steampowered.com/curator/31507748-Achievement-Scouts/?snr=1_1050_curatorsreviewing_,"13,675",INFORMATIONAL
LifeIsReallyStrange,https://store.steampowered.com/curator/27966971-LifeIsReallyStrange/?snr=1_1050_curatorsreviewing_,"13,908",RECOMMENDED
Balls_of Steel,https://store.steampowered.com/curator/33295678-Balls_of-Steel/?snr=1_1050_curatorsreviewing_,"16,790",RECOMMENDED
True / False,https://store.steampowered.com/curator/35913155-True-False/?snr=1_1050_curatorsreviewing_,"8,898",RECOMMENDED
Greatest Games,https://store.steampowered.com/curator/32854818-Greatest-Games/?snr=1_1050_curatorsreviewing_,"19,260",RECOMMENDED
No Epic Games,https://store.steampowered.com/curator/34697179-No-Epic-Games/?snr=1_1050_curatorsreviewing_,"8,028",RECOMMENDED
Bitcoin,https://store.steampowered.com/curator/2502890-Bitcoin/?snr=1_1050_curatorsreviewing_,"20,503",RECOMMENDED
Kawaii Questers,https://store.steampowered.com/curator/45380672-Kawaii-Questers/?snr=1_1050_curatorsreviewing_,"21,774",RECOMMENDED
Games for Lovers,https://store.steampowered.com/curator/34907518-Games-for-Lovers/?snr=1_1050_curatorsreviewing_,"8,499",RECOMMENDED
PLAY / DON'T PLAY,https://store.steampowered.com/curator/40511383-PLAY-DON%2527T-PLAY/?snr=1_1050_curatorsreviewing_,"6,861",RECOMMENDED
В гостях у Джо,https://store.steampowered.com/curator/25126253-%25D0%2592-%25D0%25B3%25D0%25BE%25D1%2581%25D1%2582%25D1%258F%25D1%2585-%25D1%2583-%25D0%2594%25D0%25B6%25D0%25BE/?snr=1_1050_curatorsreviewing_,"10,452",RECOMMENDED
Spicy Reviews,https://store.steampowered.com/curator/45617363-Spicy-Reviews/?snr=1_1050_curatorsreviewing_,"21,675",RECOMMENDED
Game In Japan!,https://store.steampowered.com/curator/33499140-Game-In-Japan/?snr=1_1050_curatorsreviewing_,"12,250",RECOMMENDED
Make-A-Witch Foundation,https://store.steampowered.com/curator/7218891-Make-A-Witch-Foundation/?snr=1_1050_curatorsreviewing_,"9,125",RECOMMENDED
Обзоры онлайн,https://store.steampowered.com/curator/28776273-%25D0%259E%25D0%25B1%25D0%25B7%25D0%25BE%25D1%2580%25D1%258B-%25D0%25BE%25D0%25BD%25D0%25BB%25D0%25B0%25D0%25B9%25D0%25BD/?snr=1_1050_curatorsreviewing_,"14,153",RECOMMENDED
PawPlay Buddies,https://store.steampowered.com/curator/45796864-PawPlay-Buddies/?snr=1_1050_curatorsreviewing_,"8,298",RECOMMENDED
Gamophile,https://store.steampowered.com/curator/32366569-Gamophile/?snr=1_1050_curatorsreviewing_,"14,852",RECOMMENDED
Puzzle Lovers,https://store.steampowered.com/curator/25928931-Puzzle-Lovers/?snr=1_1050_curatorsreviewing_,"6,432",RECOMMENDED
Cherry Reviews,https://store.steampowered.com/curator/45521504-Cherry-Reviews/?snr=1_1050_curatorsreviewing_,"21,007",RECOMMENDED
Annie Logic,https://store.steampowered.com/curator/32594720-Annie-Logic/?snr=1_1050_curatorsreviewing_,"14,649",RECOMMENDED
Thor Reviews,https://store.steampowered.com/curator/45520846-Thor-Reviews/?snr=1_1050_curatorsreviewing_,"21,115",RECOMMENDED
Play It Again,https://store.steampowered.com/curator/43272636-Play-It-Again/?snr=1_1050_curatorsreviewing_,"23,855",RECOMMENDED
Indie Pulse,https://store.steampowered.com/curator/45193283-Indie-Pulse/?snr=1_1050_curatorsreviewing_,"9,805",RECOMMENDED
DigiPen Institute of Technology,https://store.steampowered.com/curator/40427995-DigiPen-Institute-of-Technology/?snr=1_1050_curatorsreviewing_,"5,985",INFORMATIONAL
Linux игры,https://store.steampowered.com/curator/26105178-Linux-%25D0%25B8%25D0%25B3%25D1%2580%25D1%258B/?snr=1_1050_curatorsreviewing_,"8,068",RECOMMENDED
Microtransaction Check,https://store.steampowered.com/curator/30654888-Microtransaction-Check/?snr=1_1050_curatorsreviewing_,"6,808",INFORMATIONAL
NyaNya Review,https://store.steampowered.com/curator/34147574-NyaNya-Review/?snr=1_1050_curatorsreviewing_,"6,058",RECOMMENDED
Extra Credits EDU,https://store.steampowered.com/curator/7389497-Extra-Credits-EDU/?snr=1_1050_curatorsreviewing_,"6,739",RECOMMENDED
VλlveTime,https://store.steampowered.com/curator/3421676-V%25CE%25BBlveTime/?snr=1_1050_curatorsreviewing_,"7,259",RECOMMENDED
The Linux Gamer,https://store.steampowered.com/curator/6856810-The-Linux-Gamer/?snr=1_1050_curatorsreviewing_,"5,900",RECOMMENDED
Average Achievement Hunter,https://store.steampowered.com/curator/30168383-Average-Achievement-Hunter/?snr=1_1050_curatorsreviewing_,"5,134",INFORMATIONAL
AdventureGamers.com,https://store.steampowered.com/curator/6859083-AdventureGamers.com/?snr=1_1050_curatorsreviewing_,"5,574",RECOMMENDED
United Critics,https://store.steampowered.com/curator/38888018-United-Critics/?snr=1_1050_curatorsreviewing_,"5,359",RECOMMENDED
GAMETHORN,https://store.steampowered.com/curator/45193296-GAMETHORN/?snr=1_1050_curatorsreviewing_,"9,829",RECOMMENDED
]Pro-G[GamingCommunity,https://store.steampowered.com/curator/6770339-%255DPro-G%255BGamingCommunity/?snr=1_1050_curatorsreviewing_,"6,194",RECOMMENDED
Quiet River,https://store.steampowered.com/curator/25807341-Quiet-River/?snr=1_1050_curatorsreviewing_,"5,460",RECOMMENDED
Hype or Yikes,https://store.steampowered.com/curator/41653970-Hype-or-Yikes/?snr=1_1050_curatorsreviewing_,"3,265",RECOMMENDED
Top Sellers,https://store.steampowered.com/curator/44263702-Top-Sellers/?snr=1_1050_curatorsreviewing_,"3,512",INFORMATIONAL
Bruce's Batcave,https://store.steampowered.com/curator/33093599-Bruce%2527s-Batcave/?snr=1_1050_curatorsreviewing_,"4,315",RECOMMENDED
Oliver Age 24,https://store.steampowered.com/curator/6859243-Oliver-Age-24/?snr=1_1050_curatorsreviewing_,"4,895",RECOMMENDED
First Person Exploration and Puzzle Games,https://store.steampowered.com/curator/9686972-First-Person-Exploration-and-Puzzle-Game/?snr=1_1050_curatorsreviewing_,"3,959",RECOMMENDED
McThunder's,https://store.steampowered.com/curator/37281857-McThunder%2527s/?snr=1_1050_curatorsreviewing_,"5,683",RECOMMENDED
Greatest Co-op Games,https://store.steampowered.com/curator/40212331-Greatest-Co-op-Games/?snr=1_1050_curatorsreviewing_,"3,141",RECOMMENDED
𝐓𝐡𝐞 𝐊𝐢𝐭𝐜𝐡𝐞𝐧,https://store.steampowered.com/curator/33316350-%25F0%259D%2590%2593%25F0%259D%2590%25A1%25F0%259D%2590%259E-%25F0%259D%2590%258A%25F0%259D%2590%25A2%25F0%259D%2590%25AD%25F0%259D%2590%259C%25F0%259D%2590%25A1%25F0%259D%2590%259E%25F0%259D%2590/?snr=1_1050_curatorsreviewing_,"8,300",RECOMMENDED
Doctor Gamer,https://store.steampowered.com/curator/42985504-Doctor-Gamer/?snr=1_1050_curatorsreviewing_,"22,336",RECOMMENDED
